用户ID,签到天数,金币数,抽奖次数,抽奖总金额
1127979536,2,240692,303.0,68945.0
1138668760,1,164535,421.0,57830.0
1283972191,3,433211,1399.0,224170.0
1403967709,1,146181,244.0,38829.0
1485733176,1,178892,1.0,55.0
1539214893,5,382021,2533.0,354597.0
1585238709,7,236688,488.0,68934.0
1789909772,3,444834,3765.0,610679.0
1967596462,1,179260,0.0,0.0
2071169322,2,396540,514.0,112453.0
2085039435,1,274275,20.0,803.0
2162073803,4,422282,11412.0,1757833.0
2238494429,7,353529,6455.0,972981.0
2443552414,3,122797,7445.0,1057752.0
2478794703,3,251005,3.0,95.0
2480392629,6,577844,14.0,2285.0
2502539863,1,177710,0.0,0.0
2575505863,6,413401,602.0,60320.0
2630563440,1,176107,0.0,0.0
2631894416,4,433649,3053.0,472024.0
2721714595,3,371322,528.0,101825.0
2756757785,7,414539,3375.0,507475.0
2872901393,3,446048,2185.0,306695.0
2889225809,3,384377,310.0,44865.0
2897416648,1,179260,0.0,0.0
2910260780,6,341118,4185.0,595861.0
2911175802,3,308295,3301.0,508194.0
2915436597,1,179192,0.0,0.0
2950243038,2,434308,463.0,45699.0
2966568359,3,42088,2337.0,342914.0
2990969562,1,145296,0.0,0.0
2991489582,1,208628,3020.0,440571.0
3097761803,1,277,4.0,195.0
3140575623,5,539815,2650.0,391066.0
3209912793,1,179369,0.0,0.0
3254512750,4,59705,900.0,138283.0
3390694212,3,113027,572.0,91633.0
3500665698,1,321138,893.0,135662.0
3503099726,6,486853,6679.0,1017464.0
3530723689,2,218247,212.0,21894.0
3543629535,1,180956,241.0,54216.0
368140637,6,209896,316.0,55852.0
3782664631,1,100,0.0,0.0
3868321942,2,157155,10510.0,1433635.0
422259370,6,481730,643.0,106934.0
553082017,8,210797,15.0,631.0
723821208,2,227813,1010.0,163468.0
731676249,4,148312,34.0,3412.0
7F726D1BD6A55FF2777F1502B8C18E5E,1,177733,1.0,50.0
845673528,1,179246,0.0,0.0
